,job_name,company_name,company_location,salary,job_description,job_apply_url
0,Full Stack Software Engineer,SPARKSOFT SDN BHD,Kuala Lumpur,"RM 5,000 – RM 6,800 per month",Next to TRX mall and TRX MRT stationYoung and friendly working environmentGood benefit,https://www.jobstreet.com.my/job/73600482?type=standout&ref=search-standalone
1,Senior Fullstack Developer,Configura Pacific Sdn Bhd,Kuala Lumpur,Not Mentioned,Walking Distance to LRT/MRT Ampang ParkHybrid working environment with genuine worklife balanceContractual Bonus,https://www.jobstreet.com.my/job/73418008?type=standout&ref=search-standalone
2,Full Stack Developer - Fresh Graduate,Agmo Studio Sdn Bhd,"Petaling Jaya, Selangor",Not Mentioned,"Annual salary increment, performance bonus and parking allowanceAble to build robust, scalable, error-free integration with different partnersGood working culture and friendly colleagues",https://www.jobstreet.com.my/job/73451561?type=standout&ref=search-standalone
3,Full Stack Developer,Not Mentioned,Kuala Lumpur,"RM 6,000 – RM 9,000 per month",Not Mentioned,https://www.jobstreet.com.my/job/73433275?type=standout&ref=search-standalone
4,Full Stack Developer,Faculty Digital,Kuala Lumpur,Not Mentioned,Not Mentioned,https://www.jobstreet.com.my/job/73521878?type=standard&ref=search-standalone
5,Software Engineer / Full Stack Developer,UST Global (M) Sdn Bhd,"Penang Island, Penang","RM 5,000 – RM 6,500 per month",flexibilitycareer growthwork life balance,https://www.jobstreet.com.my/job/73580856?type=standout&ref=search-standalone
6,Senior Full Stack Developer,Not Mentioned,Shah Alam/Subang,"RM 5,000 – RM 7,500 per month",Not Mentioned,https://www.jobstreet.com.my/job/73542016?type=standard&ref=search-standalone
7,Full Stack Web Developer,SIXiDES Advertising Pte Ltd,Selangor,"RM 6,500 – RM 9,500 per month",Not Mentioned,https://www.jobstreet.com.my/job/73503047?type=standard&ref=search-standalone
8,Software Developer,MISOFT SDN. BHD.,"Puchong, Selangor","RM 4,000 – RM 6,000 per month","Travel AllowanceOptical Benefit & Birthday AllowanceMedical, Body Check Up & Insurance",https://www.jobstreet.com.my/job/73562802?type=standout&ref=search-standalone
9,Fullstack Developer,Eden Robot Enterprise,"Johor Bahru, Johor","RM 5,000 – RM 7,500 per month",Not Mentioned,https://www.jobstreet.com.my/job/73485684?type=standard&ref=search-standalone
10,Frontend Developer- Application support ( Node.JS/React.JS/TypeScripts),UST Global (M) Sdn Bhd,Kuala Lumpur,"RM 6,000 – RM 7,500 per month",Excellent Medical benefitsGreat Working EnvironmentGreat Career Advancement,https://www.jobstreet.com.my/job/73588526?type=standout&ref=search-standalone
11,Backend - Technical Lead,Qashier,Kuala Lumpur,"RM 16,000 – RM 20,000 per month",Semi-Flexi Welfare (staycation &amp; optical)Creative EnvironmentAttractive compensation and equity bonuses,https://www.jobstreet.com.my/job/73624009?type=standout&ref=search-standalone
12,Fullstack Java Consultant,dJAVA Factory Sdn Bhd,Kuala Lumpur,"RM 6,000 – RM 9,000 per month",Performances RewardsCareer DevelopmentBirthday Gift,https://www.jobstreet.com.my/job/73369757?type=standout&ref=search-standalone
13,Full-Stack Developer,XOX TECHNOLOGY BERHAD,"Petaling Jaya, Selangor","RM 3,500 – RM 5,000 per month",Flexi Working Hours,https://www.jobstreet.com.my/job/73420699?type=standout&ref=search-standalone
14,Full Stack Developer,Greenfinder sdn bhd,Shah Alam/Subang,"RM 4,000 – RM 6,000 per month",Not Mentioned,https://www.jobstreet.com.my/job/73428053?type=standard&ref=search-standalone
15,Senior Full Stack Front End Developer,Ambition Group Malaysia Sdn Bhd,Kuala Lumpur,$10000.00 - $15000.00 p.m.,Not Mentioned,https://www.jobstreet.com.my/job/73427384?type=standard&ref=search-standalone
16,Full-Stack Developer,Big Pharmacy Healthcare Sdn  Bhd,"Petaling Jaya, Selangor",Not Mentioned,Fastest growing community pharmacy in MalaysiaImproving others' lives through your workStaff Purchase,https://www.jobstreet.com.my/job/73383871?type=standout&ref=search-standalone
17,Full Stack Developer,Dancom Group,"Bangsar South, Kuala Lumpur","RM 5,000 – RM 7,000 per month",Good RemunerationWork life balanceJoin a friendly and fast-growing team,https://www.jobstreet.com.my/job/73358723?type=standout&ref=search-standalone
18,Full Stack Software Developer,FOODLINE.SG PTE. LTD.,Penang,"RM 4,200 – RM 6,200 per month",Work from HomeMonday to Friday14 days Annual Leave,https://www.jobstreet.com.my/job/73394461?type=standout&ref=search-standalone
19,Software Developer,LINK CREATION SDN. BHD.,"Puchong, Selangor",Not Mentioned,Not Mentioned,https://www.jobstreet.com.my/job/73522018?type=standout&ref=search-standalone
20,Internship for IT Students (Full Stack Developer / Business Analyst),AGTIV Consulting Sdn Bhd,Kuala Lumpur,RM 700 – RM 900 per month,"Real Project Experience and Opportunity to Convert Full Time!World-Class Customers - Singapore, France, UK, India & MalaysiaGreat Working Environment, Social Gatherings, Sport and Retreat",https://www.jobstreet.com.my/job/73356022?type=standout&ref=search-standalone
21,Full Stack Java Developer,B2B Commerce (M) Sdn Bhd,"Petaling Jaya, Selangor",Not Mentioned,Extra AL earn if a Public Holiday falls on a SaturdayNear to LRTBirthday month incentive given,https://www.jobstreet.com.my/job/73356521?type=standout&ref=search-standalone
22,Junior NodeJS Developer,Tentacle Tech,"Kelana Jaya, Selangor","RM 3,500 – RM 5,200 per month","Monthly base salary, Fixed Transport Allowances & MobileAL, ML, Insurance, Yearly AppraisalYearly MYR4,000 per financial year for well-being",https://www.jobstreet.com.my/job/73365761?type=standout&ref=search-standalone
